zip_code,latitude,longitude,city,state,county
501,40.922326,-72.637078,Holtsville,New York,Suffolk
544,40.922326,-72.637078,Holtsville,New York,Suffolk
601,18.165273,-66.722583,Adjuntas,Puerto Rico,Adjuntas
602,18.393103,-67.180953,Aguada,Puerto Rico,Aguada
603,18.455913,-67.14578,Aguadilla,Puerto Rico,Aguadilla
604,18.49352,-67.135883,Aguadilla,Puerto Rico,Aguadilla
605,18.465162,-67.141486,Aguadilla,Puerto Rico,Aguadilla
606,18.172947,-66.944111,Maricao,Puerto Rico,Maricao
610,18.288685,-67.139696,Anasco,Puerto Rico,Anasco
611,18.279531,-66.80217,Angeles,Puerto Rico,Utuado
612,18.450674,-66.698262,Arecibo,Puerto Rico,Arecibo
613,18.458093,-66.732732,Arecibo,Puerto Rico,Arecibo
614,18.429675,-66.674506,Arecibo,Puerto Rico,Arecibo
616,18.444792,-66.640678,Bajadero,Puerto Rico,Arecibo
617,18.447092,-66.544255,Barceloneta,Puerto Rico,Barceloneta
622,17.998531,-67.187318,Boqueron,Puerto Rico,Cabo Rojo
623,18.062201,-67.149541,Cabo Rojo,Puerto Rico,Cabo Rojo
624,18.023535,-66.726156,Penuelas,Puerto Rico,Penuelas
627,18.477891,-66.85477,Camuy,Puerto Rico,Camuy
631,18.269187,-66.864993,Castaner,Puerto Rico,Lares
636,18.113284,-67.039706,Rosario,Puerto Rico,San German
637,18.087322,-66.934911,Sabana Grande,Puerto Rico,Sabana Grande
638,18.33616,-66.472087,Ciales,Puerto Rico,Ciales
641,18.250027,-66.698957,Utuado,Puerto Rico,Utuado
646,18.43606,-66.281954,Dorado,Puerto Rico,Dorado
647,17.969594,-66.939754,Ensenada,Puerto Rico,Guanica
650,18.360125,-66.562311,Florida,Puerto Rico,Florida
652,18.457254,-66.603358,Garrochales,Puerto Rico,Arecibo
653,17.972468,-66.898661,Guanica,Puerto Rico,Guanica
656,18.02328,-66.786909,Guayanilla,Puerto Rico,Guayanilla
659,18.481391,-66.808696,Hatillo,Puerto Rico,Hatillo
660,18.145486,-67.135323,Hormigueros,Puerto Rico,Hormigueros
662,18.480285,-67.028155,Isabela,Puerto Rico,Isabela
664,18.217606,-66.598306,Jayuya,Puerto Rico,Jayuya
667,18.015099,-67.055973,Lajas,Puerto Rico,Lajas
669,18.295952,-66.881925,Lares,Puerto Rico,Lares
670,18.252135,-66.990967,Las Marias,Puerto Rico,Las Marias
